Company,Address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Andy Lam ,1129-33 W. Argyle St.,Lawrence/Broadway,08/27/2015,$121000.00,$82500.00,"masonry work, tuck-pointing, replacement of doors, storefront upgrades, installation of awning, reduce chimney height, HVAC improvements, and upgrade electrical service"
"Windy City Greens, LLC",1200 W. Cermak Rd. 2nd Floor/Ste. 210,Pilsen Industrial Corridor,08/27/2015,$83167.92,$41583.96,"core holes and install eleven (11) floor drains and vent pipes; install approximately 150 feet of new cast iron pipes for drains; connect new drain line into existing sewer lines and run vent pipe through the roof; furnish and install approximately 850 square feet of USDA-compliant solid epoxy flooring; furnish and install approximately 415 square feet of quartz flooring in scrub room area; grinding of approximately 16,300 square feet of main warehouse floor, repairs to damaged concrete, and installation of USDA-compliant concrete sealer"
"SKW Industries, LLC dba Progressive Coating",900 S. Cicero Ave.,Roosevelt/Cicero,08/28/2015,$133687.00,$66843.50,"installation of a new roofing system including insulation, a new membrane with vapor venting, new flashings, and new aluminum termination bars around the perimeter of the roof"
Scott Conway,2745 W. Armitage Ave.,Fullerton/Milwaukee,08/28/2015,$6125.00,$4593.75,install HVAC condenser and AC unit for commercial space and electrical work associated with HVAC improvements
"WTF Reserve, LLC",415 N. Sangamon St.,Kinzie Industrial Corridor,09/09/2015,$63799.80,$47287.35,masonry repairs to the façade (replace coping; new flashing; tuck point and replace brick when applicable; repair face brick and replace with color-matched brick when applicable; restore face brick mortar; install limestone panels below first floor sills); replacement of six (6) lintels; limestone panel materials
"Major Dickens, LLC",2100 N. Major Ave.,Galewood/Armitage,09/23/2015,$126567.81,$63283.91,"demolition work including cutting and patching; installation of new overhead LED light fixtures; replacement of exterior windows; roofing repairs; plumbing work including repairs to waste lines and new fixtures; electrical work including installation of new subpanels, service, and relocation of electrical for proper distribution for new production facility; repairs to existing and installation of new overhead dock doors; and carpentry and framing work with drywall and doors for new office space on second floor"
Joel Hall Dancers & Center,5965 N. Clark St.,Clark/Ridge,09/24/2015,$21170.00,$15877.50,"installation of aluminum storefront doors to be used as a barrier for extreme weather, replace base sink and faucet, install backsplash, remodeling of the bathroom to include replacement of damaged drywall, add cabinet shelving, replace glass window, lighting, install diaper stations, install electric hand dryers, painting and plaster wall repairs, electrical work to find the short circuit, remove light or disconnect circuit over drop ceiling, replace HVAC piping and reducers, and installation of ceiling fans."
"Fasttrak Auto Center, LTD",3263 W. Fullerton Ave.,Fullerton/Milwaukee,09/25/2015,$31025.00,$23268.75,installation of new HVAC rooftop unit (RTU) and ductwork; carpentry work to build new curb for RTU and to repair ceilings in West office; soft costs including architectural and permit fees
Mom's & Dad's Deli (sole proprietorship),6345 S. Central Ave.,Archer/Central,09/25/2015,$109064.06,$81798.05,"roofing over existed modified bitumen system with new gutters and downspouts; masonry repairs to building exterior (tuck pointing of east, south, and west elevations; remove deteriorated brick on west/façade elevation and rebuild using new bricks that match original per City Design Guidelines; new storefront windows, frames, and door; replace existing bathroom fixtures (toilets, faucets, ADA grab bars) for two bathrooms; new VCT flooring; clean and repair existing VCT flooring where needed; renovations to kitchen plumbing (including grease trap and sewer lines); carpentry to patch wall cracks and install laminate-type counter system; installation of FRP panels on walls; install fire-rated metal door to kitchen; carpentry to reduce window openings; install new track lighting and associated electrical; painting; remove and replace existing HVAC condensers with new condensers; electrical work to install new power outlets and wiring for HVAC work as required"
"A-Korn Roller, Inc.",3545 S. Morgan St.,35th/Halsted,09/30/2015,$119917.00,$59958.50,complete roofing replacement for three (3) sections of roof at 3545 S. Morgan: demolition; install new insulation; install recovery board and TPO roofing membrane; reinstall existing skylights; install urethane sealant; and install new gutters and downspouts
Feim Azizi,4300 N. Western Ave.,Western Avenue (South),10/01/2015,$47075.00,$35306.25,"demolition (canopy, stucco façade, gutters, fascia, roofing, walls); install new window and door openings; new roofing; new gypsum board and insulation for exterior as well as new fiber cement siding; new gutters; new limestone below storefront frames and new limestone sills; new storefront system; painting and ceiling tile replacement in commercial space; and structural repair to southeast entry"
Applied Hydraulics Corporation,944 N. Spaulding Ave.,Division/Homan,10/01/2015,$286263.28,$140488.63,"new HVAC system for office and associated duct work; installation of new lighting and electrical system (400 amp service panels, energy efficient T8 lighting, can lighting, exit signage, outlets, switches, and exterior lights); repairs to garage doors and installation of new openers; new doors (materials and hardware); install new TPO roof system; permanent security system items (cameras and electrical); installation of a photovoltaic solar electrical system; tuck pointing and brick up of window opening; installation of glass block windows; demolition, framing, drywall, and primer at second floor; and new commercial windows"
His & Hers Barber and Beauty Salon,2102 S. Pulaski Rd.,Ogden/Pulaski,10/01/2015,$5117.50,$3838.13,balance of electrical for commercial and basement areas
"Cosmopolitan Continental Cafe, Inc. dba Lutnia Restaurant",5532 W. Belmont Ave.,Belmont/Central,10/02/2015,$16000.00,$12000.00,repairs to interior ceilings and walls; new interior light fixtures
Nasser Diab (Landlord - 1654-58 E. 87th),1658 E. 87th St.,Stony Island/Burnside,10/05/2015,$15323.00,$11492.25,"installation of a hot water tank; installation of high efficiency furnace and two (2) air conditioning units, new ductwork, and all necessary gas and electrical piping and connections"
"Boulevard Bikes, LLC",2535 N. Kedzie Blvd. #1,Fullerton/Milwaukee,10/05/2015,$7962.00,$5971.50,"furnish and install a new storefront system (frames, glass, door)"
"UA Fitness, LLC dba Urban Athlete",4710 N. Ravenswood Ave.,Ravenswood Industrial Corridor ,10/05/2015,$354869.55,$50000.00,"a complete rehabilitation for new fitness center including installation of a new storefront system including framing, glass windows and doors; exterior and interior masonry repairs for storefront opening and sealing of interior brick; concrete work to level floors; new steel and metal framing for interior layout; carpentry and millwork, drywall throughout and installation of acoustical ceiling tiles above locker rooms; installation of fire alarm and sprinkler systems; mechanical HVAC improvements including new ductwork, registers, and exhausts; rough and finish electrical work (light fixtures not included); painting and finishing work"
"Inner City Youth and Adult Foundation, Inc.",4500 S. Michigan Ave.,47th/King,10/07/2015,$25293.08,$14541.66,furnish and install new vinyl windows with double insulated glass; materials expenses related to the project
"Global Choices, Inc.",4535 W. Addison St.,Portage Park,10/14/2015,$150700.00,$75350.00,"roof replacement including tear off, decking repairs, new insulation, installation of new TPO membrane, new drains and vents; and replacement of three (3) rooftop HVAC condenser units with three (3) Energy Star rated units"
"Basa Projects, LLC",2912 N. Milwaukee Ave.,Fullerton/Milwaukee,10/14/2015,$23630.00,$17391.00,"furnish and install a new commercial storefront system for 2912 N. Milwaukee (frames, glass, doors); exterior electrical work for light fixture and security camera (fixture and camera materials not included); demolition of aluminum paneling covering window frames; replace damaged wood at storefront as needed; labor to replace base terra cotta panel with like-kind replacement (materials not included) and re-grout terra cotta tiles at bottom of storefront windows; priming and painting of lintels, window frames, and aluminum panels at entry overhang"
Justin Blair & Company,4500 W. 31st St.,Little Village,10/16/2015,$370830.00,$68149.00,demolition of existing roofing system and installation of new roofing system for 4500 W. 31st St. including repairs to roof drains and installation of new flashings
"Kiddieland Educational Center for Excellence II, Inc.",5142 W. Belmont Ave.,Belmont/Central,10/16/2015,$292980.00,$100000.00,"construct new partition walls for three classrooms and install insulation and drywall; frame new openings for six (6) interior pass through windows in walls; install new baseboards in the new classrooms; plumbing work to furnish and install new cast iron drains; install new hot and cold water lines; install new natural gas service in laundry room and to rooftop units; install new high efficiency 50-gallon hot water tank; electrical work to install new 400 amp service for facility; install new outlets, switches, and T8 and can-style light fixtures throughout new classrooms, kitchen, dining area, bathrooms, and office areas; install owner-supplied security cameras and intercom system (labor only, materials expenses not included); install fire alarm system; HVAC work to furnish and install two (2) new rooftop HVAC units and associated electrical, duct work, and exhaust; repair and replace (as needed) drop ceiling tiles; furnish and install five (5) fire-rated doors and two (2) exterior aluminum commercial doors; prepare concrete subfloor and install approximately 3,500 square feet of ceramic tile flooring throughout facility; demolish old façade; install a new storefront (replace limestone, frames and glass to install eight (8) new storefront windows); install new façade elements; install five (5) casement windows and two (2) picture windows along perimeter; tuck point and reseal exterior masonry as needed; and install new roof with insulation"
"La Michoacana, Inc. dba La Michoacana Ice Cream Shop",6610 S. Pulaski Rd.,63rd/Pulaski,10/16/2015,$55000.00,$41250.00,"plumbing work, electrical system upgrades, installation of insulation, drywall, ceiling, tile flooring, wall tiles, and duct work. "
"HT International, Inc. dba Wealth Logic Solutions",4606 N. Western Ave.,Western Avenue (North),10/19/2015,$44800.00,$33600.00,"remove flashing from north, east, and south parapet walls on main building and including walls above garage; remove copings on east wall and remove existing parapet down to roof line; rebuild parapet wall with common bricks; mortar for new bricks; install modified bitumen flashing and coat with aluminum; remove existing gutters, flashing, and siding on east wall above garage; install new ice and water shield, steel flashing, insulation; install new siding; and realign existing gutters and downspouts"
"Windy City Greens, LLC",1200 W. Cermak Rd. 2nd Floor/Ste. 210,Pilsen Industrial Corridor,10/19/2015,$116935.00,$58467.50,"furnish and install four (4) 10-ton energy-efficient rooftop HVAC units and associated duct work, roofing, and thermostat and economizer installation; furnish and install 4-ton unit and associated duct work and control expenses; furnish and install four (4) fresh air intake dampers, four (4) side mount industrial exhaust ventilators, and controls; architectural services; engineering services; and permit expediting"
"HT International, Inc. dba Wealth Logic Solutions",4606 N. Western Ave.,Western Avenue (North),10/19/2015,$2645.00,$1462.50,"the balance of expenses related to: remove flashing from north, east, and south parapet walls on main building and including walls above garage; remove copings on east wall and remove existing parapet down to roof line; rebuild parapet wall with common bricks; mortar for new bricks; install modified bitumen flashing and coat with aluminum; remove existing gutters, flashing, and siding on east wall above garage; install new ice and water shield, steel flashing, insulation; install new siding; and realign existing gutters and downspouts"
"5621 W. Irving Park, Inc. dba Inter Auto Glass",5621 W. Irving Park Rd.,West Irving Park,10/20/2015,$56100.00,$42075.00,"roofing repairs; concrete repairs to front entryway; remove existing flooring in garage/service area, install new cast iron underground plumbing and drains, and enclose with new concrete slab; install new vinyl tile flooring to replaced damaged flooring in storage area; install new overhead doors and associated electrical work"
Crystal's Unisex,1850 W. 47th St.,47th/Ashland,10/20/2015,$59575.00,$44681.25,"installation of a new storefront system (frames, glass windows and doors); removal and replacement of commercial heating and forced air systems; electrical service work including replacement of panel, new conduit and wiring; removal of drop ceiling and restoration of original ceiling; new drywall; new soffits around ductwork; plumbing work connected to salon fixtures (fixtures not included); painting and finish work"
"Little Kids Village, Inc.",3732 W. 63rd St.,63rd/Pulaski,10/23/2015,$142996.23,$33333.34,"completion of the daycare center buildout including mechanical HVAC and ductwork; rough and finish plumbing work; rough and finish electrical work; carpentry work, framing, insulation and drywall, and finishing work for new walls, stairwells, ceilings, and floor"
Prism Optics Inc,3594 N Milwaukee,Portage Park,10/23/2015,$28000.00,$21000.00,installation of a grid-tiered 4.8KW photovoltaic solar panel array system including roof mounts and electrical connections (electricity to serve commercial portion of property only)
"2755 West Harrison, LLC & Shiller Preyar Law Offices",2755 - 2759 W. Harrison St. & 605 - 611 S. California Ave.,Western/Ogden,10/23/2015,$300340.00,$33333.34,"the balance of rehabilitation and renovation work including: rough and finish carpentry, framing, and drywall for new office space, restrooms, and stairwells; masonry façade improvements; new exterior windows; plumbing work including installation of fixtures; mechanical HVAC work including installation of rooftop units and new ductwork; electrical work; roofing repairs as needed; flooring (sub-floor framing and finishes); structural steel work; painting and finishing work"
"SKCPA, L.L.C. dba Sohn+Ko CPAs",6116 N. Lincoln Ave.,Lincoln Avenue,10/26/2015,$82295.00,$61721.25,demolition and replacement of existing flat roofing system; furnish and install new 7.5-ton rooftop HVAC unit and associated duct work; furnish and install two (2) new doors and four (4) new windows; replace insulation at front entrance walls and storefront area; replace gutters and down spouts; tuck point north and west walls; and painting of the exterior storefront and exterior side wall areas only
"Nationwide Furniture Distributors, Inc. / Fillmore, LLC",1034 S. Kostner Ave.,Roosevelt/Cicero,10/26/2015,$161943.65,$80971.83,"improvements to help rehabilitate a six-story warehouse facility including installation of new electrical service including an 800 AMP 480/277 volt electrical gear, new panels, transformers, and breakers throughout the facility; installation of fire-rated doors throughout the facility including interior rolling steel shudders between rooms within the facility and steel pedestrian doors throughout the facility"
"Roma III, LLC dba Ashland Value Mart",4723 S. Ashland Ave.,47th/Ashland,10/27/2015,$66425.00,$49818.75,"masonry repairs to west elevation: restore three (3) lintels at second floor; install flashing and weep ropes; rebuild existing parapet wall (approx. 4,600 bricks); reinstall flashings at parapet wall; remove damaged stone elements above lintel and replace with color-matched elements; grinding and tuck pointing of remaining parts of west elevation (approx. 60 sq. ft.); removal of existing storefront system at first floor and replace with a new storefront system (frames, glass, doors); install new aluminum frame windows at second floor with safety glass; and permit expenses"
"STS Ventures, Inc. dba The Wooden Spoon",5047 N. Clark St.,Clark/Montrose,10/28/2015,$14988.00,$11241.00,"furnish and replace two (2) fixed windows and two (2) new awning windows at existing openings at entrance; replace wood boards and mouldings on façade; repair tile and concrete at entry; roofing repairs; installation of new kitchen lights (labor only, materials expenses not included)"
About Face Theatre Collective,"5252 N. Broadway St., 2nd Floor",Lawrence/Broadway,10/28/2015,$31400.00,$23550.00,"the balance of renovations including: new rough plumbing connections and piping for two (2) restrooms and one (1) janitorial/service closet; electrical work including relocation of electrical panel and installation of light fixtures; carpentry and framing work for new handicap accessible layout, new drywall, ceilings, doors and hardware; tile work for walls and floors; painting and finishing work"
"Airam IL, Inc. / Sabor a Mi, Inc. dba Nana",3267 S. Halsted St.,35th/Halsted,11/09/2015,$75200.00,$56400.00,remove glass block windows from corridor walls and fill in with brick; masonry work to construct three (3) (of four (4) total) new openings in masonry wall; tuck point north elevation wall; install two (2) new floor drains and a new grease trap; replace ceiling joist; remove and replace basement staircase; install new electrical outlets; and architectural and permit expenses
"Eric Tseng O.D., Prof. Corp.",9928 S. Western Ave. ,Western/Rock Island,11/09/2015,$40000.00,$30000.00,"masonry repairs to north elevation brick wall (replace approximately 50 bricks; removal of previous business signage and electrical hardware; grind out mortar joints and tuck point); masonry repairs to west elevation (replace approximately 20 bricks; grind out out mortar joints and tuck point); roofing repairs (powerwashing; reseal base of vents, stacks, and mechanical penetrations; patch roof membrane and install new flashing; install new aluminum roof coating); install new storefront frames, glass, and doors; demolition of existing brick veneer and support columns; install new CMU support wall and facade veneer; install flashings and limestone coping; grind out and regrout granite panel joints; electrical system improvements (install exterior conduit and junction boxes at north and west elevations); install four (4) gooseneck exterior lamps on north and south face brick wall and install four (4) floodlights at north elevation; install one (1) exterior entrance lamp at west elevation"
Sandra Pauta,5715 W. Irving Park Rd. ,West Irving Park,11/09/2015,$72724.00,$54543.00,"façade restoration including new lintels; repair of I-beams; new storefront; doors; installation of flashing and new stones; tuck-pointing; replacement of windows; replacement of concrete slabs; installation of ceramic tile; masonry including rebuild/repair chimneys and parapet walls; replacement of coping; installation of a new roof, flashing, gutters, and down spouts"
Uprising Theater ,2905 N. Milwaukee Ave.,Fullerton/Milwaukee,11/09/2015,$66666.66,$50000.00,exterior and interior demolition; masonry work at the storefront/façade elevation; interior masonry; new storefront frames; structural flooring work; and masonry materials expenses
"GreenWay Resource Recovery, LLC",2100 S. Kilbourn Ave.,Roosevelt/Cicero,11/09/2015,$109225.00,$54612.50,"demolish old concrete and install approximately 10,050 square feet of concrete flooring; phase I of masonry repairs to the exterior walls of 2100 S. Kilbourn: grinding; tuck pointing; rebuilding of the parapet walls with new flashings; replacement of spalled bricks and lintels with flashing replacement
"
Chicago Printmakers Collaborative,4912 N. Western Ave.,Western Avenue (North),11/09/2015,$191634.02,$100000.00,"demolition, masonry repairs (install new 12""x24"" façade tiles; new footing under storefront wall; install first floor concrete slab; tuck pointing of building exterior when applicable; repairs to parapet caps; work to existing basement slab associated with rough plumbing; rough carpentry to frame out new first floor partitions, ceilings, and soffits; installation of first floor doors, cabinets, windows, and skylights; painting; porcelain tile flooring at first floor; removal and replacement of existing roofing system and flashings; new storefront system (frames, glass, and door); rough plumbing (rough in underground cast iron pipes; install drainage and vent lines); furnish and install plumbing fixtures in first floor (toilet, sinks, and mop basin); rough electrical for the first floor (furnish and install 400 amp service and panels per plans, new conduit and wiring per plans); furnish and install first floor light fixtures (emergency lighting and exit signage and fluorescent lighting)"
"Cater Minnis Insurance Agency, Inc.",6824 S. Pulaski Rd.,63rd/Pulaski,11/10/2015,$29689.05,$20218.92,"installation of a new aluminum storefront system with six (6) new windows and new entry door; renovation of office space including demolition of existing offices and knee wall at entryway, new framing, new support beam and column including excavation, concrete and asphalt work to replace load bearing wall, new insulation and 5/8” drywall, new interior doors and windows, new suspended ceiling system and light fixtures, replacement of security camera, new baseboards and carpeting, electrical work including new wiring, outlets and switches (low voltage wiring to work spaces not included), removal and re-routing of gas line, painting and finishing work"
"Southwest Signs, Inc.",5641 W. 63rd St.,Archer/Central,11/10/2015,$18900.00,$14175.00,"Complete roof replacement including decking repairs, new insulation, modified bitumen membrane, aluminum coating, flashings, new gutter and downspout."
"Midway Pro Auto, Inc.",4823 W. 63rd St.,Archer/Central,11/10/2015,$23272.00,$17454.00,"demolish existing 12’ x 10’ garage door and replace with a new garage door; remove and replace two (2) furnaces with associated control system items, furnish and install one (1) new high efficiency boiler with damper and control system

"
"WTF Reserve, LLC",415 N. Sangamon St.,Kinzie Industrial Corridor,11/10/2015,$17500.00,$13125.00,the balance of the masonry repairs to the façade (replace coping; new flashing; tuck point and replace brick when applicable; repair face brick and replace with color-matched brick when applicable; restore face brick mortar; install limestone panels below first floor sills); replacement of six (6) lintels; permit expenses
"TI Ruk, Inc. dba Ruk Sushi & Thai",4431 N. Milwaukee Ave.,Jefferson Park,11/12/2015,$13882.75,$10412.06,"installation of three (3) new awning frames (canvases not included); and installation of a walk-in cooler including all connections to plumbing, electrical, and mechanical HVAC systems"
"Jefferson Park Grill, Inc.",5364 W. Gale St.,Jefferson Park,11/12/2015,$12500.00,$9375.00,a renovation of the restaurant façade on the southern elevation: removal of vinyl siding and plastic signage; installation of brick paneling on cement back panel; tuckpointing of new bricks;  installation of limestone copings on top of parapet wall; and replacement of steel lintel above window
"Windy City Greens, LLC",1200 W. Cermak Rd. 2nd Floor,Pilsen Industrial Corridor,12/01/2015,$52180.00,$26090.00,"electrical work to route power to HVAC rooftop units and exhaust fans; route power and install junction boxes for lighting including associated circuits, breakers, and piping; and general contractor services"
Modern Beauty Salon,4310 W. Lawrence Ave.,Lawrence/Pulaski,12/02/2015,$137000.00,$100000.00,"paving, HVAC, stairway, windows and doors, electrical, insulation, plumbing, drop ceiling, carpentry, floors, awning, masonry, roofing, and bath. "
"Donald A. Cyze, Attorney at Law",3304-06 W. 111th St. ,111th/Kedzie,12/07/2015,$53803.79,$38976.62,"a façade renovation that included a new storefront, windows and doors, installation of bricks, stone sills, insulation, gutters and tuck-pointing, carpentry as needed, electrical, and roofing repairs as needed"
"Southwest Signs, Inc.",5641 W. 63rd St.,Archer/Central,12/08/2015,$10850.00,$8137.50,"replacing two (2) furnaces, new duct work, and install new rooftop unit with all necessary gas and electrical connections"
"Jeffery Manor Auto Wash, Inc.",2544 E. 95th St.,Commercial Avenue,12/09/2015,$40000.00,$23868.25,"removal of all existing wall and ceiling coverings in car wash tunnel and frame out new structural metal I-beam and columns; install new plastic paneling system over walls and ceiling to prevent moisture seepage and water damage, and reinstall all electrical and gas piping, fixtures, and mechanicals"
"Debit Connections, Inc. dba DCI",4200 W. Victoria St.,Peterson/Pulaski,12/14/2015,$103612.00,$51206.00,"removal and replacement of nine (9) existing rooftop HVAC units (new units garnering energy star ratings) with all necessary electrical wiring, economizers, and gas piping; replacement of 1 unit heater and duct free split system; tear off and replacement of roof section over warehouse with new TPO membrane, gutters, and aluminum fascia board; and permit fees (expediting fees not included)"
"Metropolis Coffee Company, LLC",3057 N. Rockwell St.,Addison Corridor (South),12/17/2015,$295331.00,$147665.50,"furnish and install new electrical distribution system and thirty (30) T-8 light fixtures for warehouse; furnish and install outlets, switches, and T-8 fixtures for office area; furnish and install water supply and waste distribution for sinks and roasting room; furnish and install two (2) 10 ton twin HVAC system for office and part of warehouse and one (1) 5 ton twin system for other rooms; furnish and install gas pipe for distribution for roasting equipment; new windows in existing openings and new masonry openings; framing, doors, and drywall for partitions and ceiling for warehouse build-out; framing, doors, insulation, painting, and drywall for ceilings and partitions for office build-out; seal concrete surfaces in office and construct ADA ramps; permit, architect, and engineering expenses."
"Fasttrak Auto Center, LTD",3263 W. Fullerton Ave.,Fullerton/Milwaukee,12/17/2015,$51975.00,$38981.25,"masonry façade renovations including replacement of face brick with new brick of similar style and color, restoration of limestone work at parapet wall and on upper façade, and creation of new openings for two new entryways; shore up front roof area behind upper facade; tuckpointing of basement walls and ceiling; and installation of new aluminum storefront frames, doors, and glass to seal new facade"
"3880, LLC",3880 N. Milwaukee Ave.,Portage Park,12/21/2015,$101650.00,$76237.50,"tear off and replacement of two rear roofing sections and main building roof section including removal of existing membrane, underlayment, insulation, flashing, and coping tiles, repairs to decking as needed, new plywood sheathing, new insulation, and new 60 mil white TPO membrane roofing system, new flashings and termination bars at base of clay coping tiles on parapet walls; removal of old drain system and installation of new galvanized steel gutter system with downspouts, tuckpointing as needed on parapet walls, and replacement of two skylights with glazing"
Antek Madison Plastics USA LTD. ,8822 S. Dobson,Stony Island/Burnside,12/29/2015,$108685.00,$54342.50,"complete roof tear off, with repairs to damaged decking and flashing, underlayment, new insulation, new modified bitumen membrane, waterproofing and aluminum coating"
Sandra Pauta,5715 W. Irving Park Rd. ,West Irving Park,01/04/2016,$60980.00,$45457.00,"concrete work including a new retainer wall at back entry to basement, installation of  drains to prevent water overflow, cut, removed and replaced the concrete landing at basement door, replaced stairs to the basement; plumbing work including sewer cleanout, replacement of sump pump; new doors, repaired water damaged walls in basement, removed non-bearing walls, remodeled basement bathroom damaged by water overflow, primed and painted basement ceilings and walls. "
Electronic Connector Company,6332 S. Central Ave.,Archer/Central,01/05/2016,$9500.00,$4750.00,"removal of exterior signage on upper façade, repairs to damaged brick including tuckpointing and power washing, and electrical work to cap electrical supply used for old signage; installation of ten (10) double hung vinyl windows on upper façade including caulking and capping work"
"Nationwide Distributors, Inc. / Fillmore, LLC",1034 S. Kostner Ave.,Roosevelt/Cicero,02/02/2016,$183064.45,$69028.17,"install high efficiency, motion-sensing light fixtures including ballasts throughout entire warehouse facility, exit signs, electrical receptacles, and connections to new electrical service; finish installing fire rated doors in stairwells and interior rolling security doors including associated masonry work for door framing"
Raven Theatre Company,6157 N. Clark St.,Clark/Ridge,01/06/2016,$132365.10,$98931.08,"HVAC improvements including replacement of rooftop compressor unit, exhaust fan, and heat exchanger; removal and replacement of damaged tree grates in public way by front façade; tuckpointing on north elevation; exterior painting on north, west, and south elevations; replacement of concrete by front entryway; structural signage improvements including replacement of reader board sign hung on south elevation with new aluminum pan sign (not including Raven Theatre-specific applications), installation of backer panel for back lit illumination of existing sign on front façade, removal of defunct box sign on north elevation and replacement with LED illuminated box sign (not including Raven Theatre-specific applications), and installation of bolted frame on recessed western elevation for banner signs (not including printed banners); electrical work including up lighting (fixtures and wiring) of front façade signage, wiring for LED box sign, installation of gooseneck light fixtures and wiring on south elevation, and installation of new LED light fixtures with all new wiring using existing and new conduit; replacement of deteriorated carpeting with new carpet; architectural services"
"Grandstand, Ltd.",600 W. 35th St.,35th/Wallace,01/07/2016,$57249.38,$42937.04,"furnish and install a new storefront system (frames, impact resistant doors, and glass); labor and materials for the installation of thirty-one (31) precast stone panels; demolish old siding and install new steel siding (labor and materials) on Grandstand part of building (75 LF on 35th Street and 125 LF on Wallace Avenue elevations); install new copings; install eight (8) exterior gooseneck light fixtures and associated electrical work (labor and materials); and permit expenses"
Josephine Jet Set Beauty Salon ,2542 E. 79th St.,Avalon Park/South Shore,01/08/2016,$126758.00,$94712.25,"complete renovation for the salon at 2542 E. 79th St.: new storefronts, doors and windows for the adjacent commercial spaces; framing, installation of drywall, installation of mold resistant sheetrock, interior trim for all door casings, baseboards, new door casings for exterior doors and windows;masonry repairs, tuck-pointing, painting; replacement of rubber roofing and decking over commercial spaces; façade repairs including replacement of damaged soffit and fascia; new flooring; installation of a heating and air conditioning system; plumbing including all new rough plumbing cast iron floor drains, sink drains, copper vents, new water supply system, and a new water heater; electrical system including installation of new 400 amp 3 phase electrical distribution and meter panels, and finish electrical fixtures and trimmings"
"Cosmopolitan Continental Cafe, Inc. dba Lutnia Restaurant",5532 W. Belmont Ave.,Belmont/Central,01/08/2016,$36500.00,$19250.00,"install new storefront windows and doors; façade improvements compliant with Design Guidelines (cleaning and tuck pointing of existing tiled elevation, demolition of aluminum siding, installation of new color-matched tiles in areas where siding was removed, and associated masonry repairs)"
"GreenWay Resource Recovery, LLC",2100 S. Kilbourn Ave.,Roosevelt/Cicero,01/08/2016,$15200.00,$7600.00,balance of the masonry repairs (grinding and tuck pointing) to the exterior walls of 2100 S. Kilbourn
Chii Clothing Company dba Culture Studio,1151 W. 40th St. ,Stockyards Annex,01/11/2016,$31680.00,$13990.00,"electrical work required for new equipment including installation of a 400 AMP circuit breaker panel, a three (3) phase transformer, new wiring, conduit, and drop cords for equipment"
"Spectra Merchandising International, Inc. ",4230 N. Normandy Ave.,Read/Dunning,01/13/2016,$24289.00,$10879.50,"furnish and install eight (8) new LED wall fixtures on exterior wall; furnish and install an additional 100 amp electrical panel in electrical closet; furnish and circuit and disconnect for a three-phase forklift charger; furnish and install step down transformer for the new panel; repairs to dock doors at north elevation and main doors (install new header sections, weather sealer, and insulated bottom section); and furnish and install four (4) exterior pedestrian steel access doors"
"South Chicago Art Center, NFP dba SkyArt",3026 E. 91st St. ,Commercial Avenue,01/20/2016,$285668.10,$34862.50,"completion of the buildout including finishing of roofing work (tear off, new decking, plywood, insulation, cover board, and a 60 mil TPO membrane system) and new mechanical HVAC work (installation of two (2) 7.5 ton RTUs and forced air ductwork system throughout the interior)"
"La Michoacana, Inc. dba La Michoacana Ice Cream Shop",6610 S. Pulaski Rd.,63rd/Pulaski,01/25/2016,$10550.00,$7912.50,"HVAC ducts, exhaust hood and fire suppression system. "
Amy's Candy Bar Inc.,4704 N. Damen Ave.,Western Avenue (North),01/26/2016,$6830.22,$4305.38,"installing a new awning system, new circuit for an air conditioning unit, new electrical panels and lighting fixtures"
Maria Gonzalez,2618-20 W. Division St.,Humboldt Park,01/27/2016,$25292.00,$18969.00,"furnish and install new storefront system items (frames, glass, and doors) for the ground floor commercial units at 2618-20 W. Division St. only"
Royal Envelope Corporation,4114 S. Peoria St.,Stockyard Annex,02/01/2016,$55200.00,$27600.00,"upgrade sprinkler system in warehouse facility (remove and replace approx. twelve (12) sprinkler lines and approx. forty-eight (48) sprinklers); replace approx. eight (8) sprinkler escutcheons, fourteen (14) backer rings, and install three (3) new chrome pendant sprinklers in office and bathroom areas; install horizontal sidewalls beneath interior and exterior dock door areas and install one (1) pendant sprinkler in shipping office ceiling; upgrade sprinkler system in machine shop mezzanine area and above locker room (install twelve (12) new brass upright sprinklers in machine shop and install twenty-five (25) semi-recessed pendant sprinklers in locker room ceiling); upgrade sprinklers below break room mezzanine and at 2nd floor break room (install twenty (20) new brass upright sprinklers in break room mezzanine and install twenty (20) new brass upright sprinklers in break room ceiling; adjust five (5) sprinkler heads at 2nd floor wall for proper coverage; install one (1) new sprinkler in existing closet and at stair landing; replace existing 8"" single check valve with a new double check backflow preventer as required by City code including control valves, hangers, and miscellaneous fittings"
"CPP Enterprises, Inc. dba Villa Rosa Pizza ",5786 S. Archer Ave.,Archer/Central,02/03/2016,$130000.00,$97500.00,"façade renovations including removal of old stucco and installation of new common brick, three (3) new commercial grade windows, a new entry door and frame with tempered glass; tear off of existing roofing system, replace shingles over rear section, new 1” insulation and modified bitumen torched down roofing over front section; HVAC improvements including new 5 and 3 ton rooftop unit to tie in with existing and new ductwork, kitchen exhaust vent repairs and installation of new exhaust hood; frame and install new commercial grade doors in side and rear of building; renovations to dining room including new drywall, repairs to subflooring and install new ceramic 12 x 12 tile in dining area, entry and hallway areas (restroom tile not included); wiring and new can light fixtures for dining area"
