name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,hotline_prompt,hotline1,hotline2,website,dir_prefix,dir_first,dir_mi,dir_last,dir_suffix,dir_title,dir_phone,dir_fax,dir_email,mail_street1,mail_street2,mail_city,mail_state,mail_zip,mail_zip4,latitude,longitude,type_facility,last_update,saf,mhf,mhsaf,ghf,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,pvt,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,onat,np,sf,md,mc,si,pi,mi,ihs,atr,fsa,ss,pa,ah,sp,nx,fx,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo 
Eric Gordon and Associates,,2644 Dempster Street,Suite 115,Park Ridge,IL,60068,,Cook,847-824-1700,,,,,,,http://www.drunkdrivingillinois.com,,Eric,L,Gordon,,,,,,,,,,,,42.039896,-87.841103,SA,2/1/17 17:30,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,,,,,,1,,,1,1,1,1,,,1,
Rosecrance Inc,Woodstock Recovery Home,894 Pleasant Street,,Woodstock,IL,60098,2245,McHenry,815-391-1000,,,,,,,http://www.rosecrance.org,,Chris, ,Gleason,,President / CEO,815-391-1000,,,,,,,,,42.3254582,-88.4637663,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,1,,,,1,,,,1,,1,1,,,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,,,1,1,1,1,,,,
Rosecrance Inc,Woodstock Recovery Home,874 Pleasant Street,,Woodstock,IL,60098,2245,McHenry,815-391-1000,,,,,,,http://www.rosecrance.org,,Chris, ,Gleason,,President / CEO,815-391-1000,,,,,,,,,42.325353,-88.463413,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,1,,,,1,,,,1,,1,1,,,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,,,1,1,1,1,,,,
Rosecrance Inc,Woodstock Recovery Home,896 Pleasant Street,,Woodstock,IL,60098,2245,McHenry,815-391-1000,,,,,,,http://www.rosecrance.org,,Chris, ,Gleason,,President / CEO,815-391-1000,,,1021 North Mulford Road,,Rockford,IL,61107,,42.3254876,-88.4638314,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,1,,,,1,,,,1,,1,1,,,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,,,1,1,1,1,,,,
Rosecrance Inc,Woodstock Recovery Home,876 Pleasant Street,,Woodstock,IL,60098,2245,McHenry,815-391-1000,,,,,,,http://www.rosecrance.org,,Chris, ,Gleason,,President / CEO,815-391-1000,,,,,,,,,42.3254189,-88.46352,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,1,,,,1,,,,1,,1,1,,,1,,,1,,,1,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,1,1,1,1,,,1,,,1,1,1,1,,,,
Center for Addictive Problems,,609 North Wells Street,,Chicago,IL,60654,,Cook,312-266-0404,,,,,,,http://www.capqualitycare.com,Mr.,Terry,,Bering,,Center Director,,,,,,,,,,41.892761,-87.634084,SA,2/1/17 17:30,1,,,,1,1,1,,1,1,,1,,1,1,1,1,,,,,,,1,1,1,,1,,,1,,,,,1,,,,1,1,,,1,,,,,,1,,,,,,,1,,,,1,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,1,,,1,1,1,1,1,1,,,,,,1,,,1,1,1,1,1,1,,
Family Guidance Centers Inc,,310 West Chicago Avenue,,Chicago,IL,60654,,Cook,312-943-6545-261,Intake,312-943-6545x281,,,,,http://www.fgcinc.org,,Sarah,,McHugh,,,,,,,,,,,,41.89683,-87.636283,SA,2/1/17 17:30,1,,,,1,,1,,,,,,1,,,1,1,,,,,,,,1,1,,1,1,1,1,,,,,1,,,,,1,,,1,,,,,,1,,,,,,,1,1,,,1,,,,,,,1,1,,1,1,,,,1,1,1,,1,,,1,,,,,1,,,,1,1,,,,1,,,,,,,,,,1,1,,1,1,,,1,1,,,1,,,1,1,1,1,,1,,
Catholic Charities of,The Archdiocese of Chicago/Corp HQ,721 North LaSalle Street,,Chicago,IL,60654,3503,Cook,312-655-7167,,,,,,,,,Michael,M,Boland,,President& CEO,312-655-7000,,,,,,,,,41.8952175,-87.6323187,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,,1,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,1,,,,1,1,1,1,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,,,1,
"Dr. Christopher  Scandinaro, M.D.",,400 North Michigan Avenue,Suite 1110,Chicago,IL,60611,,Cook County,(312)467-0400,,,,,,,,Dr.,Christopher,,Scandinaro,M.D.,,(312)467-0400,(312)467-0066,,400 North Michigan Avenue,Suite 1110,Chicago,IL,60611,,41.8895,-87.6249,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Near North Health Service Corporation,Winfield Moody Health Center,1276 North Clybourn Street,,Chicago,IL,60610,,Cook,312-337-1073,Intakes,312-337-1073-233,312-337-1073-236,,,,http://WWW.NEARNORTHHEALTH.ORG,,Berneice,,Mills-Thomas,,,,,,,,,,,,41.90526303,-87.64166796,SA,2/1/17 17:30,,,,1,1,,,,,,,,,,,,,,,,1,,,,,1,,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,1,,,,,,,1,1,,,1,,,,1,1,1,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,,,,
" Fatima Mubeen Mohiuddin, M.D.",,9120 West Golf Road,,Niles,IL,60714,,Cook County,(847)390-7122,,,,,,,,,Fatima,Mubeen,Mohiuddin,M.D.,,(847)390-7122,(847)390-7115,,9120 West Golf Road,,Niles,IL,60714,,42.0542,-87.8532,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Victoria  Nee, M .D",,858 North Clark Street,Suite 203,Chicago,IL,60610,,Cook County,(312)649-3585,,,,,,,,,Victoria,,Nee,M .D,,(312)649-3585,,,858 North Clark Street,Suite 203,Chicago,IL,60610,,41.8984,-87.6314,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hazelden Betty Ford Foundation,,867 North Dearborn Street,,Chicago,IL,60610,,Cook,312-943-3534,Intake,,866-831-5700,Hotline,800-257-7800,,http://www.hazeldenbettyford.org,,Ramsen,,Kasha,,Executive Director Chicago,,,,,,,,,,41.8985825,-87.6294951,SA,2/1/17 17:30,1,,,,1,,,,,,,,1,,,,,1,,,,,1,,,1,1,1,1,1,,1,,,,1,,,,,,1,1,1,,,1,,,1,,,,,,,1,,,,1,,,,,,,1,,,,1,,,,,,,1,,,,1,,,,,,,1,,1,1,,,,,1,,,,,,,,,1,1,1,1,1,1,1,1,,1,,1,,,1,1,1,1,,,,
" Joseph L. Kut, M.D.",,3800 North Wilke Drive,Suite 160,Arlington Heights,IL,60004,,Cook County,(847)686-5700,,,,,,,,,Joseph,L.,Kut,M.D.,,(847)686-5700,(847)342-0378,,3800 North Wilke Drive,Suite 160,Arlington Heights,IL,60004,,42.1445,-88.0061,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Marla D. Kushner, D.O.",,2437 North Southport,,Chicago,IL,60614,,Cook County,(773)244-9600,,,,,,,,Dr.,Marla,D.,Kushner,D.O.,,(773)244-9600,(312)951-2730,,2437 North Southport,,Chicago,IL,60614,,41.926,-87.6631,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. John Fred E. Shick, M.D.",,"676 N. St. Clair Street, Suite 1785",,Chicago,IL,60611,,Cook County,(312)943-2552,,,,,,,,Dr.,John,Fred E.,Shick,M.D.,,(312)943-2552,(312)573-1919,,"676 N. St. Clair Street, Suite 1785",,Chicago,IL,60611,,41.8946,-87.6232,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Richard  Hayes, M.D.",,4801 West Peterson Avenue,Suite 600,Chicago,IL,60646,,Cook County,(773)777-0078,,,,,,,,,Richard,,Hayes,M.D.,,(773)777-0078,(773)777-0474,,4801 West Peterson Avenue,Suite 600,Chicago,IL,60646,,41.9896,-87.749,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Insight Eating Disorders/Eating,Recovery Center of Illinois,150 East Huron Street,Suite 1200,Chicago,IL,60611,2949,Cook,312-540-9955,,,,,,,,Dr,Susan,,McClanahan,PhD,President,312-540-9955,,,,,,,,,41.8952146,-87.623156,SA,2/1/17 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dr. Alan Richard Hirsch, M.D.",,233 EAST ERIE,Suite 712,Chicago,IL,60611,,Cook County,(312)649-5829,,,,,,,,Dr.,Alan,Richard,Hirsch,M.D.,,(312)649-5829,(312)649-0458,,233 EAST ERIE,Suite 712,Chicago,IL,60611,,41.894,-87.6215,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DUI Associates Inc,,1212 North Seminary Avenue,Suite 2,Woodstock,IL,60098,,McHenry,815-337-0732,,,,,,,,,Randy,,Edwards,,Director,815-337-0732,,,1212 North Seminary Avenue,Suite 2,Woodstock,IL,60098,,42.327617,-88.442995,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,1,,,,,,,1,1,1,,1,,,1,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,1,1,1,,1,,1,,,1,1,1,1,,,1,
"Dr. Michael H. Levinson, M.D.",,600 North McClurg Court,Suite 4411A,Chicago,IL,60611,,Cook County,(312)337-5944,,,,,,,,Dr.,Michael,H.,Levinson,M.D.,,(312)337-5944,(312)943-4669,,600 North McClurg Court,Suite 4411A,Chicago,IL,60611,,41.8931,-87.6179,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Brooktree Arlington Il LLC,,3265 North Arlington Heights Road,Suite 303,Arlington Heights,IL,60004,,Cook,224-347-4000,,,,,,,,Dr,Stacy,,Lott,PsyD,Member,732-903-1964,,,,,,,,,42.1353099,-87.9824786,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,,1,1,1,,,,,,1,,,,,,,1,,,,,,,,,1,,1,,,,1,,,,,1,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,1,1,1,1,1,,,1,1,1,,1,,,1,1,1,1,,,,
"Dr. Michael  Baldinger, M.D.",,1150 West Fullerton Avenue,,Chicago,IL,60614,,Cook County,(773)549-7757,,,,,,,,Dr.,Michael,,Baldinger,M.D.,,(773)549-7757,(773)549-1221,,1150 West Fullerton Avenue,,Chicago,IL,60614,,41.9256,-87.6581,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Changing Lives Counseling Center Inc,,307 Henry Road,Suite 111,Alton,IL,62002,,Madison,618-462-2812,Intake,,618-616-0437,,,,,Mr,Ted,M,Williams,,President,618-462-2812 ,,,,,,,,,38.8906127,-90.1767078,SA,2/1/17 17:30,1,,,,1,1,,,,,,,,,,,,,1,,,,,,,1,,1,1,1,,,,,,1,1,1,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,,1,,1,,1,,,1,,1,,1,1,1,,,1,
"Dr. Samuel Anthony Libeu, M.D.",,446 E Ontario St 6th Floor,,Chicago,IL,60611,,Cook County,(312)926-1678,,,,,,,,Dr.,Samuel,Anthony,Libeu,M.D.,,(312)926-1678,(312)926-6833,,446 E Ontario St 6th Floor,,Chicago,IL,60611,,41.8937,-87.6164,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. John E. Franklin, M.D., M.Sc.",,"Nrthwestern Med Faculty, Dept of Psych","446 East Onterio, 7th Floor",Chicago,IL,60611,,Cook County,(312)695-4038,,,,,,,,Dr.,John,E.,Franklin,"M.D., M.Sc.",,(312)695-4038,(312)695-5010,,"Nrthwestern Med Faculty, Dept of Psych","446 East Onterio, 7th Floor",Chicago,IL,60611,,41.8937,-87.6164,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Evan Hayward Goulding, M.D.",,446 East Ontario Street,,Chicago,IL,60611,,Cook County,(312)926-8200,,,,,,,,Dr.,Evan,Hayward,Goulding,M.D.,,(312)926-8200,(312)926-6833,,446 East Ontario Street,,Chicago,IL,60611,,41.8937,-87.6164,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Katherine A Backes, M.D.",,446 East Ontario Street,Suite 7-100,Chicago,IL,60611,,Cook County,(312)926-8200,,,,,,,,Dr.,Katherine,A,Backes,M.D.,,(312)926-8200,,,446 East Ontario Street,Suite 7-100,Chicago,IL,60611,,41.8937,-87.6164,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Ghada  Albeheary, M.D.",,980 North Michigan Avenue,Suite 1400,Chicago,IL,60611,,Cook County,(312)613-0164,,,,,,,,,Ghada,,Albeheary,M.D.,,(312)613-0164,,,980 North Michigan Avenue,Suite 1400,Chicago,IL,60611,,41.9005,-87.6247,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Randy Lyle Calisoff, M.D.",,Rehabilitation Institute of Chicago,"980 North Michigan Avenue, Suite 800",Chicago,IL,60611,,Cook County,(312)238-7809,,,,,,,,Dr.,Randy,Lyle,Calisoff,M.D.,,(312)238-7809,(312)238-7881,,Rehabilitation Institute of Chicago,"980 North Michigan Avenue, Suite 800",Chicago,IL,60611,,41.9005,-87.6247,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Positive Sobriety Institute LLC,,680 North Lake Shore Drive  ,Suite 800,Chicago,IL,60611,8713,Cook,312-642-7230,,,,,,,http://www.positivesobrietyinstitute.com,,Daniel ,,Kobosky,,,312-642-7230,,,680 North Lake Shore Drive  ,Suite 1315,Chicago,IL,60611,8713,41.894663,-87.616683,SA,2/1/17 17:30,1,,,,1,1,,,,,,,1,,1,1,,1,,,,,1,,,1,1,1,1,,,1,,,,1,,,,1,1,1,1,1,,,1,,,1,,,,,,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,1,1,1,,,1,1,1,,1,1,1,1,1,,,1,,,1,1,1,1,,,,
Anixter Center,Addiction Recovery of the Deaf,2001 North Clyborn Avenue,Suite 402,Chicago,IL,60614,,Cook,773-549-0208-223,Intakes,773-227-8530,773-904-0105,,,,http://www.anixter.org,,Natalie,,Zubenko,,Manager,,,,,,,,,,41.9225,-87.651,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,1,,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,1,,1,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,
"Dr. Sarnit  Charnond, M.D.",,550 Landmarks Boulevard,,Alton,IL,62002,,Madison County,(618)463-5905,,,,,,,,Dr.,Sarnit,,Charnond,M.D.,,(618)463-5905,(618)463-5935,,550 Landmarks Boulevard,,Alton,IL,62002,,38.8894,-90.178,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
" Syed Rashid Akhter, M.D.",,3017 North Ashland Avenue,Suite 1N,Chicago,IL,60657,,Cook County,(773)935-1199,,,,,,,,,Syed,Rashid,Akhter,M.D.,,(773)935-1199,(773)935-1219,,3017 North Ashland Avenue,Suite 1N,Chicago,IL,60657,,41.9366,-87.6682,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Renacer Latino Inc,,4225 Commercial Way,,Glenview,IL,60025,,Cook,(847) 336-7302,,,,,,,http://www.renacerat.com,,Luz,R,Gvero,,Executive Director,,,,,,,,,,42.068674,-87.860303,SA,2/1/17 17:30,,,1,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,,1,,,,,1,,1,,1,1,,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,,,1,,1,1,1,1,1,,,1,
"Dr. Kimball H. Ladien, M.D.",,1732 West School Street,,Chicago,IL,60657,,Cook County,(773)248-6808,,,,,,,,Dr.,Kimball,H.,Ladien,M.D.,,(773)248-6808,(773)883-0090,,1732 West School Street,,Chicago,IL,60657,,41.9417,-87.6725,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. J. Wesley Cook, D.O.",,2001 West Addison,,Chicago,IL,60618,,Cook County,(773)404-1000,,,,,,,,Dr.,J.,Wesley,Cook,D.O.,,(773)404-1000,(773)404-9750,,2001 West Addison,,Chicago,IL,60618,,41.9466,-87.6787,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
